CustomerID,Province,Area,Phone,Multiple Lines,Combi Contract,Internet Speed,TV Subscription,Tenure,Monthly Charges,Total Charges,Payment Method,Extended Security,CustServ Calls,Churn
2656,UT,Center,030-4167866,yes,yes,250,Basic,4,53.5,214,Direct Debit,no,0,False.
2918,ZH,Center,030-3993164,no,no,250,Basic,13,53.5,695.5,Direct Debit,yes,1,False.
1042,GR,North,050-3615277,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
1119,GR,North,050-4013077,no,no,1000,Super,9,88.5,796.5,iDeal,yes,3,False.
2121,NH,Center,030-4034442,no,no,250,Basic,11,53.5,588.5,Direct Debit,no,2,False.
1365,LB,South,045-3741551,no,no,250,Basic,37,53.5,1979.5,Direct Debit,no,1,False.
1257,LB,South,045-3486659,no,yes,500,Extra,37,68,2516,Direct Debit,yes,2,False.
0366,FL,Center,030-3846132,yes,yes,250,Basic,4,53.5,214,Direct Debit,no,11,True.
2034,NH,Center,030-3689860,no,no,250,Basic,5,53.5,267.5,Direct Debit,no,3,False.
3221,ZL,South,045-3899783,no,no,250,Basic,4,53.5,214,Direct Debit,no,4,False.
2282,OV,Center,030-3686111,no,no,50,Basic,26,53.5,1391,Direct Debit,no,3,False.
1797,NB,South,045-3908876,no,no,250,Basic,60,53.5,3210,Direct Debit,no,1,False.
1795,NB,South,045-3906932,yes,no,250,Basic,9,53.5,481.5,Direct Debit,no,3,False.
1936,NH,Center,030-3333010,no,yes,50,Basic,4,53.5,214,Direct Debit,yes,16,True.
2272,OV,Center,030-3649425,no,yes,1000,Super,22,88.5,1947,iDeal,yes,3,False.
1149,GR,North,050-4171488,no,yes,250,Basic,5,53.5,267.5,Direct Debit,no,10,True.
2383,OV,Center,030-4072441,no,no,250,Basic,11,53.5,588.5,Direct Debit,no,2,False.
1453,LB,South,045-3918027,yes,no,250,Basic,22,53.5,1177,Direct Debit,no,0,False.
3057,ZL,South,045-3476812,no,no,500,Extra,13,68,884,Direct Debit,yes,1,False.
3219,ZL,South,045-3877757,no,yes,250,Basic,60,53.5,3210,Direct Debit,no,1,False.
1523,LB,South,045-4062242,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,10,True.
2493,UT,Center,030-3527072,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
2632,UT,Center,030-4083606,no,no,250,Basic,35,53.5,1872.5,Direct Debit,no,0,False.
1056,GR,North,050-3695526,no,no,250,Basic,4,53.5,214,Direct Debit,no,3,False.
1171,LB,South,045-3316229,no,yes,500,Extra,19,68,1292,Direct Debit,yes,3,False.
2560,UT,Center,030-3787872,no,no,500,Extra,19,68,1292,Direct Debit,yes,2,False.
0131,DR,North,050-3902755,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,1,False.
2332,OV,Center,030-3914652,no,no,250,Basic,2,53.5,107,Direct Debit,no,1,False.
1072,GR,North,050-3762922,no,no,1000,Super,60,88.5,5310,iDeal,yes,0,False.
2218,OV,Center,030-3436314,no,no,500,Extra,2,68,136,Direct Debit,yes,0,False.
1340,LB,South,045-3664225,no,no,250,Basic,4,53.5,214,Direct Debit,no,0,False.
2460,UT,Center,030-3389398,no,no,50,Basic,19,53.5,1016.5,Direct Debit,no,1,False.
2407,OV,Center,030-4156601,no,yes,250,Basic,4,53.5,214,Direct Debit,no,1,False.
0645,FR,North,050-4083269,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
0570,FR,North,050-3707565,no,yes,250,Basic,4,53.5,214,Direct Debit,no,1,False.
2317,OV,Center,030-3845004,no,yes,250,Basic,19,53.5,1016.5,Direct Debit,no,1,True.
1538,LB,South,045-4084911,no,no,250,Basic,22,53.5,1177,Direct Debit,no,0,False.
1329,LB,South,045-3633469,no,no,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
2816,ZH,Center,030-3675226,no,yes,250,Basic,31,53.5,1658.5,Direct Debit,no,12,True.
0341,FL,Center,030-3761000,no,no,250,Basic,22,53.5,1177,Direct Debit,no,2,False.
1998,NH,Center,030-3556531,yes,yes,250,Basic,13,53.5,695.5,Direct Debit,no,1,False.
2746,ZH,Center,030-3466941,no,yes,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
2733,ZH,Center,030-3431347,no,yes,50,Basic,4,53.5,214,Direct Debit,yes,12,True.
2866,ZH,Center,030-3849033,no,no,250,Basic,56,53.5,2996,Direct Debit,no,1,False.
3274,ZL,South,045-4056189,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,11,True.
2075,NH,Center,030-3848723,yes,yes,500,Extra,22,68,1496,Direct Debit,yes,14,True.
2584,UT,Center,030-3876440,no,no,250,Basic,2,53.5,107,Direct Debit,no,2,False.
3288,ZL,South,045-4093428,no,yes,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
2766,ZH,Center,030-3536038,yes,no,500,Extra,8,68,544,Direct Debit,yes,0,False.
0804,GD,Center,030-3715811,no,no,250,Basic,2,53.5,107,Direct Debit,no,2,False.
0573,FR,North,050-3738920,no,yes,250,Basic,8,53.5,428,Direct Debit,no,2,False.
0577,FR,North,050-3759180,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,0,False.
0629,FR,North,050-4008375,no,yes,250,Basic,8,53.5,428,Direct Debit,no,10,True.
2136,NH,Center,030-4068445,no,yes,250,Basic,4,53.5,214,Direct Debit,no,2,False.
1289,LB,South,045-3553602,no,yes,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
3256,ZL,South,045-4006257,no,yes,250,Basic,4,53.5,214,Direct Debit,yes,12,True.
1727,NB,South,045-3708463,no,yes,250,Basic,35,53.5,1872.5,Direct Debit,no,1,False.
2730,ZH,Center,030-3421960,no,no,50,Basic,60,53.5,3210,Direct Debit,no,1,False.
2284,OV,Center,030-3692214,no,yes,50,Basic,4,53.5,214,Direct Debit,no,2,False.
1352,LB,South,045-3705527,no,yes,250,Basic,18,53.5,963,Direct Debit,no,12,True.
2365,OV,Center,030-4008538,yes,yes,250,Basic,9,53.5,481.5,Manual Transfer,no,14,True.
2615,UT,Center,030-4015586,no,no,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
2776,ZH,Center,030-3572735,no,no,500,Extra,60,68,4080,Direct Debit,yes,1,False.
2167,NH,Center,030-4176683,no,no,250,Basic,56,53.5,2996,Direct Debit,no,4,False.
1715,NB,South,045-3669074,no,no,250,Basic,19,53.5,1016.5,Direct Debit,no,0,False.
1997,NH,Center,030-3556291,no,yes,250,Basic,9,53.5,481.5,Direct Debit,no,11,True.
0164,DR,North,050-4036237,no,yes,250,Basic,37,53.5,1979.5,Direct Debit,no,1,False.
1864,NB,South,045-4079244,no,no,250,Basic,35,53.5,1872.5,Direct Debit,no,1,False.
1393,LB,South,045-3803910,yes,no,250,Basic,26,53.5,1391,Direct Debit,no,0,False.
2667,UT,Center,030-4193612,no,yes,250,Basic,13,53.5,695.5,Direct Debit,no,1,False.
2961,ZH,Center,030-4164464,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,0,False.
0028,DR,North,050-3399798,yes,no,250,Basic,60,53.5,3210,Direct Debit,no,2,False.
1824,NB,South,045-3976109,no,no,50,Basic,18,53.5,963,Direct Debit,no,0,False.
0973,GR,North,050-3331967,no,no,50,Basic,22,53.5,1177,Direct Debit,no,1,False.
2669,UT,Center,030-4197415,no,no,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
3001,ZL,South,045-3332337,no,no,50,Basic,9,53.5,481.5,Direct Debit,no,2,False.
0303,FL,Center,030-3628280,no,no,500,Extra,31,68,2108,Direct Debit,yes,1,False.
0512,FR,North,050-3457900,no,no,500,Extra,1,68,68,Direct Debit,yes,2,False.
1529,LB,South,045-4068037,no,no,250,Basic,1,53.5,53.5,Direct Debit,no,1,False.
2876,ZH,Center,030-3884571,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
0253,FL,Center,030-3455338,no,no,250,Basic,5,53.5,267.5,Direct Debit,no,1,False.
2705,ZH,Center,030-3349806,no,no,1000,Super,26,88.5,2301,iDeal,yes,0,False.
3325,ZL,South,045-4193937,no,yes,250,Basic,31,53.5,1658.5,Direct Debit,no,2,False.
0269,FL,Center,030-3502250,yes,no,500,Extra,9,68,612,Direct Debit,yes,3,False.
3332,ZL,South,045-4219034,no,no,1000,Super,4,88.5,354,iDeal,yes,2,False.
0423,FL,Center,030-4041002,no,yes,250,Basic,19,53.5,1016.5,Direct Debit,no,2,False.
2083,NH,Center,030-3889464,no,no,500,Extra,26,68,1768,Direct Debit,yes,2,False.
1869,NB,South,045-4087015,no,no,250,Basic,60,53.5,3210,Direct Debit,no,3,False.
0472,FL,Center,030-4219846,no,no,250,Basic,56,53.5,2996,Direct Debit,no,0,False.
0593,FR,North,050-3821104,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,0,False.
3006,ZL,South,045-3341872,no,no,500,Extra,31,68,2108,Manual Transfer,yes,4,False.
0141,DR,North,050-3951229,no,yes,1000,Super,3,88.5,265.5,iDeal,yes,0,False.
0100,DR,North,050-3734819,no,no,500,Extra,13,68,884,Direct Debit,yes,1,False.
1611,NB,South,045-3336296,no,no,500,Extra,37,68,2516,Direct Debit,yes,1,False.
2335,OV,Center,030-3937322,no,no,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
0540,FR,North,050-3555009,yes,yes,50,Basic,9,53.5,481.5,Direct Debit,yes,4,False.
1907,NB,South,045-4211189,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,2,False.
0689,GD,Center,030-3345263,no,no,1000,Super,37,88.5,3274.5,iDeal,yes,1,False.
1266,LB,South,045-3507273,no,no,1000,Super,22,88.5,1947,iDeal,yes,1,False.
0746,GD,Center,030-3537822,no,no,500,Extra,5,68,340,Direct Debit,yes,1,False.
1548,LB,South,045-4105455,yes,no,250,Basic,26,53.5,1391,Direct Debit,no,2,False.
1586,LB,South,045-4183017,no,yes,250,Basic,19,53.5,1016.5,Direct Debit,no,2,False.
3170,ZL,South,045-3764035,no,yes,250,Basic,2,53.5,107,Direct Debit,no,0,False.
2178,OV,Center,030-3281768,yes,yes,500,Extra,22,68,1496,Direct Debit,yes,1,False.
0006,DR,North,050-3307137,yes,yes,1000,Super,7,88.5,619.5,iDeal,yes,14,True.
2607,UT,Center,030-3989408,no,yes,250,Basic,13,53.5,695.5,Direct Debit,no,1,False.
1312,LB,South,045-3595890,no,no,250,Basic,56,53.5,2996,Direct Debit,no,0,False.
2626,UT,Center,030-4072750,no,no,250,Basic,19,53.5,1016.5,Direct Debit,no,1,False.
3077,ZL,South,045-3525697,no,no,500,Extra,19,68,1292,Direct Debit,yes,1,False.
1020,GR,North,050-3514025,yes,yes,500,Extra,22,68,1496,Direct Debit,yes,11,True.
0628,FR,North,050-4003147,no,yes,250,Basic,11,53.5,588.5,Direct Debit,no,1,False.
2264,OV,Center,030-3603126,no,no,1000,Super,31,88.5,2743.5,iDeal,yes,1,False.
0261,FL,Center,030-3469317,no,no,250,Basic,2,53.5,107,Direct Debit,no,0,False.
0778,GD,Center,030-3625889,no,no,500,Extra,11,68,748,Direct Debit,yes,0,False.
0176,DR,North,050-4097034,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,0,False.
2191,OV,Center,030-3337449,no,no,500,Extra,18,68,1224,Direct Debit,yes,1,False.
0384,FL,Center,030-3899120,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,2,False.
1298,LB,South,045-3559475,no,no,250,Basic,11,53.5,588.5,Direct Debit,no,4,False.
0887,GD,Center,030-3982628,no,yes,250,Basic,2,53.5,107,Direct Debit,no,2,False.
2491,UT,Center,030-3516552,no,no,250,Basic,11,53.5,588.5,Direct Debit,no,3,False.
3041,ZL,South,045-3434696,no,no,500,Extra,11,68,748,Direct Debit,yes,0,False.
1557,LB,South,045-4118549,no,no,250,Basic,18,53.5,963,Direct Debit,no,4,False.
2086,NH,Center,030-3896790,no,yes,500,Extra,2,68,136,Direct Debit,yes,0,False.
0811,GD,Center,030-3737713,no,no,250,Basic,60,53.5,3210,Direct Debit,no,1,False.
1700,NB,South,045-3613779,no,yes,250,Basic,13,53.5,695.5,Direct Debit,no,2,False.
0785,GD,Center,030-3663358,no,yes,500,Extra,5,68,340,Direct Debit,yes,14,True.
2362,OV,Center,030-3998846,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,0,False.
0877,GD,Center,030-3942553,no,yes,250,Basic,18,53.5,963,Direct Debit,no,3,False.
1850,NB,South,045-4039733,no,no,250,Basic,37,53.5,1979.5,Direct Debit,no,3,False.
2682,UT,Center,030-4228333,no,yes,250,Basic,5,53.5,267.5,Direct Debit,no,6,False.
1734,NB,South,045-3726920,no,no,250,Basic,18,53.5,963,Direct Debit,no,2,False.
2987,ZL,South,045-3295377,no,no,50,Basic,4,53.5,214,Direct Debit,no,0,False.
0940,GD,Center,030-4135306,no,no,250,Basic,13,53.5,695.5,Direct Debit,no,1,False.
3259,ZL,South,045-4015012,no,yes,250,Basic,35,53.5,1872.5,Direct Debit,no,3,False.
2249,OV,Center,030-3549062,no,no,1000,Super,9,88.5,796.5,iDeal,yes,3,False.
0773,GD,Center,030-3619195,no,no,500,Extra,26,68,1768,Direct Debit,yes,0,False.
0018,DR,North,050-3374339,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
1728,NB,South,045-3712500,no,yes,250,Basic,37,53.5,1979.5,Direct Debit,no,10,True.
1497,LB,South,045-4014052,no,no,250,Basic,22,53.5,1177,Direct Debit,no,0,False.
1462,LB,South,045-3944512,no,yes,250,Basic,4,53.5,214,Direct Debit,no,2,False.
2486,UT,Center,030-3493005,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,14,True.
1044,GR,North,050-3627604,no,no,250,Basic,19,53.5,1016.5,Direct Debit,no,2,False.
1443,LB,South,045-3902805,no,no,250,Basic,13,53.5,695.5,Direct Debit,no,1,False.
1568,LB,South,045-4149119,no,no,250,Basic,2,53.5,107,Direct Debit,no,1,False.
1038,GR,North,050-3597426,no,yes,500,Extra,9,68,612,Direct Debit,yes,14,True.
1577,LB,South,045-4169021,yes,yes,250,Basic,1,53.5,53.5,Direct Debit,no,0,False.
1567,LB,South,045-4149027,no,yes,250,Basic,35,53.5,1872.5,Direct Debit,no,1,False.
0974,GR,North,050-3333531,no,no,50,Basic,56,53.5,2996,Direct Debit,no,1,False.
0964,GR,North,050-3299067,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,10,True.
1102,GR,North,050-3949220,no,no,250,Basic,18,53.5,963,Direct Debit,no,0,False.
1024,GR,North,050-3528327,yes,yes,500,Extra,8,68,544,Direct Debit,yes,13,True.
0383,FL,Center,030-3897073,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,1,False.
3072,ZL,South,045-3518955,no,no,500,Extra,4,68,272,Direct Debit,yes,2,False.
2614,UT,Center,030-4007280,no,yes,250,Basic,4,53.5,214,Direct Debit,no,2,False.
0892,GD,Center,030-4004244,no,yes,250,Basic,19,53.5,1016.5,Direct Debit,no,2,False.
2021,NH,Center,030-3633911,no,no,250,Basic,5,53.5,267.5,Direct Debit,no,0,False.
1755,NB,South,045-3789090,no,yes,1000,Super,22,88.5,1947,iDeal,yes,1,False.
1299,LB,South,045-3561358,no,no,250,Basic,19,53.5,1016.5,Direct Debit,no,3,False.
0256,FL,Center,030-3459153,no,yes,250,Basic,56,53.5,2996,Direct Debit,no,2,False.
0942,GD,Center,030-4146638,no,no,250,Basic,11,53.5,588.5,Direct Debit,no,2,False.
3174,ZL,South,045-3778067,yes,yes,250,Basic,13,53.5,695.5,Direct Debit,no,2,False.
0733,GD,Center,030-3524221,no,no,250,Basic,19,53.5,1016.5,Direct Debit,no,3,False.
2867,ZH,Center,030-3851214,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
1156,GR,North,050-4226690,no,yes,250,Basic,8,53.5,428,Direct Debit,no,2,False.
1113,GR,North,050-3994246,no,no,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
3099,ZL,South,045-3594081,no,no,250,Basic,37,53.5,1979.5,Direct Debit,no,2,False.
1861,NB,South,045-4068995,yes,yes,250,Basic,4,53.5,214,Direct Debit,no,13,True.
0186,DR,North,050-4155132,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
0249,FL,Center,030-3437242,no,yes,50,Basic,35,53.5,1872.5,Direct Debit,no,1,False.
0888,GD,Center,030-3983004,no,yes,250,Basic,37,53.5,1979.5,Direct Debit,no,0,False.
1747,NB,South,045-3759671,no,no,250,Basic,4,53.5,214,Direct Debit,no,1,False.
1652,NB,South,045-3465707,no,no,500,Extra,2,68,136,Direct Debit,yes,3,False.
0695,GD,Center,030-3366085,no,no,250,Basic,4,53.5,214,Direct Debit,no,0,False.
0554,FR,North,050-3625044,no,no,250,Basic,60,53.5,3210,Direct Debit,no,2,False.
2202,OV,Center,030-3368343,no,yes,500,Extra,31,68,2108,Direct Debit,yes,12,True.
2886,ZH,Center,030-3922459,no,no,250,Basic,1,53.5,53.5,Direct Debit,no,1,False.
0796,GD,Center,030-3691904,no,no,250,Basic,60,53.5,3210,Direct Debit,no,1,False.
2535,UT,Center,030-3686174,no,no,500,Extra,9,68,612,Direct Debit,yes,0,False.
2396,OV,Center,030-4111045,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
3054,ZL,South,045-3474112,no,no,500,Extra,13,68,884,Direct Debit,yes,1,False.
1607,NB,South,045-3314184,no,no,500,Extra,35,68,2380,Direct Debit,yes,2,False.
2950,ZH,Center,030-4104739,no,no,250,Basic,5,53.5,267.5,Direct Debit,no,1,False.
2071,NH,Center,030-3842219,no,no,500,Extra,9,68,612,Direct Debit,yes,2,False.
2685,ZH,Center,030-3281373,no,no,1000,Super,31,88.5,2743.5,iDeal,yes,3,False.
1479,LB,South,045-3981294,no,yes,250,Basic,1,53.5,53.5,Direct Debit,no,15,True.
2788,ZH,Center,030-3593423,no,yes,500,Extra,11,68,748,Direct Debit,yes,12,True.
0161,DR,North,050-4008952,no,no,250,Basic,4,53.5,214,Direct Debit,no,0,False.
3229,ZL,South,045-3921547,yes,no,250,Basic,11,53.5,588.5,Direct Debit,no,2,False.
0711,GD,Center,030-3429394,no,yes,50,Basic,56,53.5,2996,Direct Debit,no,1,False.
0067,DR,North,050-3561582,no,no,500,Extra,4,68,272,Direct Debit,yes,1,False.
2717,ZH,Center,030-3386981,no,no,50,Basic,9,53.5,481.5,Direct Debit,no,1,False.
3254,ZL,South,045-3988801,no,no,1000,Super,6,88.5,531,iDeal,yes,2,False.
2229,OV,Center,030-3478659,no,yes,500,Extra,56,68,3808,Direct Debit,yes,14,True.
2215,OV,Center,030-3432592,no,yes,500,Extra,1,68,68,Direct Debit,yes,11,True.
0679,GD,Center,030-3315919,no,no,1000,Super,19,88.5,1681.5,iDeal,yes,1,False.
1175,LB,South,045-3321690,no,no,500,Extra,56,68,3808,Direct Debit,yes,1,False.
2265,OV,Center,030-3605779,no,no,1000,Super,44,88.5,3894,iDeal,yes,0,False.
0565,FR,North,050-3679127,no,yes,250,Basic,11,53.5,588.5,Direct Debit,no,4,False.
0553,FR,North,050-3624685,no,no,250,Basic,60,53.5,3210,Direct Debit,yes,1,False.
2604,UT,Center,030-3977125,no,yes,250,Basic,19,53.5,1016.5,Direct Debit,no,1,False.
1061,GR,North,050-3728883,no,yes,250,Basic,5,53.5,267.5,Direct Debit,no,15,True.
2955,ZH,Center,030-4139269,yes,yes,250,Basic,9,53.5,481.5,Direct Debit,yes,12,True.
1060,GR,North,050-3705626,no,yes,250,Basic,9,53.5,481.5,Direct Debit,no,2,False.
2911,ZH,Center,030-3977411,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,1,False.
2953,ZH,Center,030-4127278,no,no,250,Basic,56,53.5,2996,Direct Debit,no,3,False.
2825,ZH,Center,030-3702957,no,yes,250,Basic,1,53.5,53.5,Direct Debit,no,0,False.
1646,NB,South,045-3447470,no,no,500,Extra,9,68,612,Direct Debit,yes,1,False.
1706,NB,South,045-3635450,no,no,250,Basic,35,53.5,1872.5,Direct Debit,no,3,False.
1319,LB,South,045-3609676,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,0,False.
1670,NB,South,045-3521237,no,no,250,Basic,1,53.5,53.5,Direct Debit,no,1,False.
1402,LB,South,045-3826135,no,yes,250,Basic,31,53.5,1658.5,Direct Debit,no,1,False.
1618,NB,South,045-3357324,yes,yes,500,Extra,26,68,1768,Direct Debit,yes,11,True.
2099,NH,Center,030-3972870,no,no,250,Basic,2,53.5,107,Direct Debit,no,2,False.
1941,NH,Center,030-3348817,no,no,50,Basic,1,53.5,53.5,Direct Debit,no,1,False.
2966,ZH,Center,030-4174266,no,no,250,Basic,2,53.5,107,Direct Debit,no,2,False.
1433,LB,South,045-3882240,yes,yes,250,Basic,22,53.5,1177,Direct Debit,yes,11,True.
2090,NH,Center,030-3911499,no,yes,500,Extra,8,68,544,Direct Debit,yes,14,True.
2756,ZH,Center,030-3511466,no,no,500,Extra,5,68,340,Direct Debit,yes,2,False.
1092,GR,North,050-3863766,no,yes,1000,Super,44,88.5,3894,iDeal,yes,1,False.
1615,NB,South,045-3352274,no,no,500,Extra,4,68,272,Direct Debit,yes,1,False.
0003,DR,North,050-3288980,no,yes,250,Basic,8,53.5,428,Direct Debit,no,12,True.
0912,GD,Center,030-4061730,no,no,250,Basic,4,53.5,214,Direct Debit,yes,2,False.
0180,DR,North,050-4123726,yes,yes,250,Basic,22,53.5,1177,Direct Debit,no,1,False.
3218,ZL,South,045-3877641,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
2293,OV,Center,030-3728405,no,no,50,Basic,35,53.5,1872.5,Direct Debit,no,3,False.
1632,NB,South,045-3404627,no,yes,500,Extra,22,68,1496,Direct Debit,yes,0,False.
0424,FL,Center,030-4041931,no,no,250,Basic,8,53.5,428,Direct Debit,no,1,False.
2694,ZH,Center,030-3328160,no,yes,1000,Super,4,88.5,354,iDeal,yes,3,False.
0761,GD,Center,030-3587165,no,yes,500,Extra,60,68,4080,Direct Debit,yes,10,True.
2109,NH,Center,030-4016982,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,12,True.
1411,LB,South,045-3842908,no,no,250,Basic,2,53.5,107,Direct Debit,no,4,False.
2775,ZH,Center,030-3567217,no,no,500,Extra,22,68,1496,Direct Debit,yes,1,False.
1244,LB,South,045-3455639,no,yes,500,Extra,26,68,1768,Direct Debit,yes,0,False.
1922,NH,Center,030-3291955,no,no,50,Basic,4,53.5,214,Direct Debit,no,2,False.
2670,UT,Center,030-4199104,no,no,250,Basic,18,53.5,963,Direct Debit,no,1,False.
1046,GR,North,050-3643286,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,14,True.
0643,FR,North,050-4076391,no,no,1000,Super,6,88.5,531,iDeal,yes,3,False.
2935,ZH,Center,030-4059573,no,no,250,Basic,1,53.5,53.5,Direct Debit,yes,1,False.
0799,GD,Center,030-3708023,no,no,250,Basic,2,53.5,107,Direct Debit,no,2,False.
1819,NB,South,045-3961278,no,no,50,Basic,22,53.5,1177,Direct Debit,no,0,False.
0120,DR,North,050-3825401,no,yes,250,Basic,11,53.5,588.5,Direct Debit,yes,16,True.
0709,GD,Center,030-3425854,no,no,50,Basic,8,53.5,428,Direct Debit,no,0,False.
